Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
12 - გურჯაანი,4,,,,გურჯაანი-4,,,,,,,,,,,1,11,12,0,1177,99,2,2,0,2,1
12 - გურჯაანი,40,,,,გურჯაანი-40,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,41,,,,გურჯაანი-41,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,42,,,,გურჯაანი-42,,,,,,,,,,,1,0,8,2,66,2,3,0,2,3,1
12 - გურჯაანი,43,,,,გურჯაანი-43,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,44,,,,გურჯაანი-44,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,5,,,,გურჯაანი-5,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,6,,,,გურჯაანი-6,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,7,,,,გურჯაანი-7,,,,,,,,,,,1,0,11,0,106,6,1,0,0,1,1
12 - გურჯაანი,8,,,,გურჯაანი-8,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,9,,,,გურჯაანი-9,,,,,,,,,,,1,0,7,1,69,4,1,0,1,1,1
13 - სიღნაღი,1,,,,სიღნაღი-1,,,,,,,,,,,1,12,11,1,1572,84,1,1,1,1,1
13 - სიღნაღი,10,,,,სიღნაღი-10,,,,,,,,,,,1,9,11,1,1134,9,1,1,1,1,1
13 - სიღნაღი,11,,,,სიღნაღი-11,,,,,,,,,,,1,0,12,2,292,4,2,0,2,2,1
